date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:06:40	1337/1337	---MCZ	404	error ('Not%20Found')	text/html	etag:1714218618-ssl-df	https://fast.ay9.dev/robots.txt		(from )
15:06:40	5414/5414	---MCZ	200	added ('OK')	text/html	etag:%22942ef2acd6e2ffc387009bec11e32e53-ssl-df%22	https://fast.ay9.dev/	C:/My%20Web%20Sites/speednew/fast.ay9.dev/index.html	(from )
15:06:42	11367/11367	---MCZ	200	added ('OK')	text/css	etag:%229e8c2dd0238b9c584b4a8af50dcb6371-ssl-df%22	https://fast.ay9.dev/styles.css	C:/My%20Web%20Sites/speednew/fast.ay9.dev/styles.css	(from https://fast.ay9.dev/)
15:06:43	945/945	---M--	200	added ('OK')	text/css	etag:%2275a32b65e25b61c261b0dd06ae21036c-ssl%22	https://fast.ay9.dev/home.css	C:/My%20Web%20Sites/speednew/fast.ay9.dev/home.css	(from https://fast.ay9.dev/)
15:06:43	1141/1141	---MCZ	200	added ('OK')	text/css	etag:%225d66d28c78e72c5264129bf7247507b4-ssl-df%22	https://fast.ay9.dev/cards.css	C:/My%20Web%20Sites/speednew/fast.ay9.dev/cards.css	(from https://fast.ay9.dev/)
15:06:44	89220/89220	---M-Z	200	added ('OK')	text/css	etag:%22620188b3-468e%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0/css/all.min.css	C:/My%20Web%20Sites/speednew/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0/css/all.min.css	(from https://fast.ay9.dev/)
15:06:45	205/205	---MC-	200	added ('OK')	text/css	date:Thu,%2027%20Mar%202025%2012:06:43%20GMT	https://fonts.googleapis.com/css2?family=Tajawal:wght@300&display=swap	C:/My%20Web%20Sites/speednew/fonts.googleapis.com/css20ad5.css	(from https://fast.ay9.dev/)
15:06:46	300720/300720	---M--	200	added ('OK')	text/javascript	date:Tue,%2010%20Jan%202017%2020:32:32%20GMT	https://www.gstatic.com/firebasejs/3.6.5/firebase.js	C:/My%20Web%20Sites/speednew/www.gstatic.com/firebasejs/3.6.5/firebase.js	(from https://fast.ay9.dev/)
15:06:46	4176/4176	---MCZ	200	added ('OK')	text/html	etag:%22b76525ce2f5fc192ee18acb8d96ba52c-ssl-df%22	https://fast.ay9.dev/stc	C:/My%20Web%20Sites/speednew/fast.ay9.dev/stc.html	(from https://fast.ay9.dev/)
15:06:47	39480/39480	---M--	200	added ('OK')	image/png	etag:%2269d3bc323c22d4fe9c50427597748413-ssl%22	https://fast.ay9.dev/img/stc.png	C:/My%20Web%20Sites/speednew/fast.ay9.dev/img/stc.png	(from https://fast.ay9.dev/)
15:06:48	4028/4028	---MCZ	200	added ('OK')	text/html	etag:%2293f38ed967c929bd2441fab529f2d8ff-ssl-df%22	https://fast.ay9.dev/zain	C:/My%20Web%20Sites/speednew/fast.ay9.dev/zain.html	(from https://fast.ay9.dev/)
15:06:49	70612/70612	---M--	200	added ('OK')	image/png	etag:%220b2cd32ab0fc6cbead9dceff412ac484-ssl%22	https://fast.ay9.dev/img/zain.png	C:/My%20Web%20Sites/speednew/fast.ay9.dev/img/zain.png	(from https://fast.ay9.dev/)
15:06:49	4070/4070	---MCZ	200	added ('OK')	text/html	etag:%22535ddc643f5deb0d9b5eaae9951a368f-ssl-df%22	https://fast.ay9.dev/mobily	C:/My%20Web%20Sites/speednew/fast.ay9.dev/mobily.html	(from https://fast.ay9.dev/)
15:06:51	52651/52651	---M--	200	added ('OK')	image/png	etag:%22dde3e87bd0d9694907ad31dc44df1a24-ssl%22	https://fast.ay9.dev/img/mobily.png	C:/My%20Web%20Sites/speednew/fast.ay9.dev/img/mobily.png	(from https://fast.ay9.dev/)
15:06:51	4041/4041	---M-Z	200	added ('OK')	text/html	etag:%224b199ed3a0079495b4fe51e099ec52d9-ssl-df%22	https://fast.ay9.dev/salam	C:/My%20Web%20Sites/speednew/fast.ay9.dev/salam.html	(from https://fast.ay9.dev/)
15:06:52	51306/51306	---M--	200	added ('OK')	image/png	etag:%22b2c81ba64a60cb0576a8bd960f87d2af-ssl%22	https://fast.ay9.dev/img/salam.png	C:/My%20Web%20Sites/speednew/fast.ay9.dev/img/salam.png	(from https://fast.ay9.dev/)
15:06:52	4010/4010	---MCZ	200	added ('OK')	text/html	etag:%22ddcec0a88040370abac549145bbc1b39-ssl-df%22	https://fast.ay9.dev/go	C:/My%20Web%20Sites/speednew/fast.ay9.dev/go.html	(from https://fast.ay9.dev/)
15:06:53	106674/106674	---M--	200	added ('OK')	image/png	etag:%22fa362a7f190671c86beb0a8fe62798bc-ssl%22	https://fast.ay9.dev/img/go.png	C:/My%20Web%20Sites/speednew/fast.ay9.dev/img/go.png	(from https://fast.ay9.dev/)
15:06:54	4097/4097	---MCZ	200	added ('OK')	text/html	etag:%22cd9a79a275f8c831ed2e7570968d3207-ssl-df%22	https://fast.ay9.dev/qa-ooredoo	C:/My%20Web%20Sites/speednew/fast.ay9.dev/qa-ooredoo.html	(from https://fast.ay9.dev/)
15:06:54	3112/3112	---M-Z	200	added ('OK')	image/svg+xml	etag:%22164e4d2bc0fff96d3f9f4234a8125f77-ssl-df%22	https://fast.ay9.dev/img/qa-ooredoo.svg	C:/My%20Web%20Sites/speednew/fast.ay9.dev/img/qa-ooredoo.svg	(from https://fast.ay9.dev/)
15:06:55	4110/4110	---MCZ	200	added ('OK')	text/html	etag:%22cc4b92fab1898cb1509b197bb5d37e59-ssl-df%22	https://fast.ay9.dev/qa-vodafone	C:/My%20Web%20Sites/speednew/fast.ay9.dev/qa-vodafone.html	(from https://fast.ay9.dev/)
15:06:56	24362/24362	---M--	200	added ('OK')	image/webp	etag:%227ac9deb6fd9b0e922e63568423541755-ssl%22	https://fast.ay9.dev/img/qa-vodafone.webp	C:/My%20Web%20Sites/speednew/fast.ay9.dev/img/qa-vodafone.webp	(from https://fast.ay9.dev/)
15:06:56	1018/1018	---M--	200	added ('OK')	application/javascript	etag:%2221d0af618ff0e7bffe7ae3b8b973ae14-ssl%22	https://fast.ay9.dev/config.js	C:/My%20Web%20Sites/speednew/fast.ay9.dev/config.js	(from https://fast.ay9.dev/)
15:06:57	1962/1962	---M-Z	200	added ('OK')	application/javascript	etag:%22ad43bbc7c3313309f607226f1e186bf7-ssl-df%22	https://fast.ay9.dev/home.js	C:/My%20Web%20Sites/speednew/fast.ay9.dev/home.js	(from https://fast.ay9.dev/)
15:06:58	765/765	---M--	200	added ('OK')	application/javascript	etag:%22dfe7862c41c0534288b87100ae05cc8a-ssl%22	https://fast.ay9.dev/v.js	C:/My%20Web%20Sites/speednew/fast.ay9.dev/v.js	(from https://fast.ay9.dev/)
15:06:58	51/51	---MCZ	200	added ('OK')	text/plain	date:Thu,%2027%20Mar%202025%2012:06:56%20GMT	https://fonts.googleapis.com/robots.txt		(from https://fast.ay9.dev/)
15:06:59	7394/7394	---MCZ	200	added ('OK')	application/javascript	etag:%22f0644cffbace796301df20d03e92f170-ssl-df%22	https://fast.ay9.dev/stc.js	C:/My%20Web%20Sites/speednew/fast.ay9.dev/stc.js	(from https://fast.ay9.dev/stc)
15:07:00	771/771	---M--	200	added ('OK')	application/javascript	etag:%223386c9af7f2b2400af94d849a91fb596-ssl%22	https://fast.ay9.dev/v2.js	C:/My%20Web%20Sites/speednew/fast.ay9.dev/v2.js	(from https://fast.ay9.dev/stc)
15:07:01	6701/6701	---MCZ	200	added ('OK')	application/javascript	etag:%22c234fa0d34263f3e336c8f194340f279-ssl-df%22	https://fast.ay9.dev/zain.js	C:/My%20Web%20Sites/speednew/fast.ay9.dev/zain.js	(from https://fast.ay9.dev/zain)
15:07:01	6284/6284	---M-Z	200	added ('OK')	application/javascript	etag:%223695fe06d0d5485ed7ffd9de5733a2be-ssl-df%22	https://fast.ay9.dev/mobily.js	C:/My%20Web%20Sites/speednew/fast.ay9.dev/mobily.js	(from https://fast.ay9.dev/mobily)
15:07:02	6120/6120	---MCZ	200	added ('OK')	application/javascript	etag:%22c148724d5356c8fc22761345e6cf17ff-ssl-df%22	https://fast.ay9.dev/salam.js	C:/My%20Web%20Sites/speednew/fast.ay9.dev/salam.js	(from https://fast.ay9.dev/salam)
